,Gas_Price_(Wei),ETH_Close_Price_(USD),Gas_Price_(USD)
10/10/2016,23808820587,11.7,0.0
10/11/2016,24289033632,11.72,0.0
10/12/2016,26037096488,12.1,0.0
10/13/2016,74508549155,11.9,1e-06
10/14/2016,47491822159,11.91,1e-06
10/15/2016,67021626922,11.88,1e-06
10/16/2016,64860315135,11.96,1e-06
10/17/2016,62917625993,12.5,1e-06
10/18/2016,56109104953,11.98,1e-06
10/19/2016,26727015004,12.0,0.0
10/20/2016,28388678071,12.09,0.0
10/21/2016,27327186756,12.09,0.0
10/22/2016,25568419660,11.98,0.0
10/23/2016,27189463354,11.85,0.0
10/24/2016,26738598194,11.34,0.0
10/25/2016,25467763116,11.5,0.0
10/26/2016,24766803093,11.39,0.0
10/27/2016,25335805631,11.01,0.0
10/28/2016,26393346615,10.39,0.0
10/29/2016,26931401011,11.21,0.0
10/30/2016,25710654068,10.93,0.0
10/31/2016,24958279875,10.71,0.0
11/10/2016,24703835063,10.29,0.0
11/11/2016,28889390493,9.881,0.0
11/12/2016,25243993965,10.11,0.0
11/13/2016,25168748733,9.977,0.0
11/14/2016,24969184273,10.19,0.0
11/15/2016,24586128040,10.02,0.0
11/16/2016,24746018974,9.935,0.0
11/17/2016,24334480804,9.434,0.0
11/18/2016,24779293462,9.618,0.0
11/19/2016,24367796634,9.536,0.0
11/20/2016,24297865025,9.57,0.0
11/21/2016,24827550548,9.839,0.0
11/22/2016,23329377849,9.738,0.0
11/23/2016,24571404785,9.22,0.0
11/24/2016,27981297065,9.373,0.0
11/25/2016,24440853301,9.272,0.0
11/26/2016,24641800522,8.909,0.0
11/27/2016,25256371561,8.734,0.0
11/28/2016,25726139305,8.178,0.0
11/29/2016,25163119754,8.598,0.0
11/30/2016,23375317675,8.437,0.0
12/10/2016,22755035263,8.217,0.0
12/11/2016,23102362744,8.453,0.0
12/12/2016,23597952573,8.356,0.0
12/13/2016,22648901910,8.215,0.0
12/14/2016,22618352558,7.755,0.0
12/15/2016,23094151934,7.794,0.0
12/16/2016,22992393242,7.66,0.0
12/17/2016,23595023607,7.887,0.0
12/18/2016,23992718388,7.591,0.0
12/19/2016,23123514564,7.591,0.0
12/20/2016,24119840003,7.873,0.0
12/21/2016,23592292635,7.641,0.0
12/22/2016,20481256826,7.14,0.0
12/23/2016,21893017280,7.236,0.0
12/24/2016,22905581735,7.164,0.0
12/25/2016,22736759512,7.212,0.0
12/26/2016,22814139095,7.142,0.0
12/27/2016,23152519818,7.465,0.0
12/28/2016,22822250696,8.214,0.0
12/29/2016,23046273651,8.148,0.0
12/30/2016,22836679784,8.054,0.0
12/31/2016,22450276633,8.154,0.0
10/10/2017,25058292801,302.86,8e-06
10/11/2017,30039329444,302.89,9e-06
10/12/2017,24512657109,336.83,8e-06
10/13/2017,26489325565,338.81,9e-06
10/14/2017,24196653845,336.58,8e-06
10/15/2017,23514174126,334.23,8e-06
10/16/2017,16678649826,316.14,5e-06
10/17/2017,14194850634,313.54,4e-06
10/18/2017,14081137033,307.41,4e-06
10/19/2017,12235259269,303.08,4e-06
10/20/2017,14610349751,299.55,4e-06
10/21/2017,12128683877,294.03,4e-06
