,ETH_Daily_Volume,ETH_Close_Price_(USD)
2016-05-27,88635808.96,11.73
2016-05-28,52082279.3,12.23
2016-05-29,27727313.81,12.66
2016-05-30,79779048.24,13.94
2016-05-31,41437617.35,13.83
2016-06-01,19458163.02,13.74
2016-06-02,43687626.87,13.82
2016-06-03,29287668.78,13.69
2016-06-04,20134786.98,14.0
2016-06-05,15419021.83,13.92
2016-06-06,39662664.06,14.38
2016-06-07,30336443.87,14.45
2016-06-08,14048341.58,14.32
2016-06-09,20046126.39,13.98
2016-06-10,19653077.7,13.92
2016-06-11,72233632.29,15.74
2016-06-12,69940529.48,17.56
2016-06-13,115860489.87,18.84
2016-06-14,36877492.25,18.42
2016-06-15,72472945.88,20.61
2016-06-16,363576999.96,15.49
2016-06-17,253372103.5,11.36
2016-06-18,144903963.76,12.33
2016-06-19,239156338.33,11.73
2016-06-20,151199269.33,12.71
2016-06-21,368883887.14,13.21
2016-06-22,76111363.6,13.58
2016-06-23,64377798.84,14.16
2016-06-24,27859493.46,14.17
2016-06-25,26060502.71,13.72
2016-06-26,19213117.56,13.83
2016-06-27,79174919.62,12.15
2016-06-28,46973119.89,12.73
2016-06-29,29404106.82,12.41
2016-06-30,33221703.08,12.3
2016-07-01,16175243.68,12.11
2016-07-02,18564890.39,11.74
2016-07-03,23169981,11.38
2016-07-04,83264450.6,10.45
2016-07-05,32281675.43,10.43
2016-07-06,28431095.27,10.03
2016-07-07,36354986.44,11.27
2016-07-08,28522082.21,10.92
2016-07-09,9409553.84,10.9
2016-07-10,24770616.06,10.46
2016-07-11,17886640.3,10.49
2016-07-12,12491314.47,10.44
2016-07-13,47979945.32,11.55
2016-07-14,57560766.2,11.88
2016-07-15,21096824.41,11.59
2016-07-16,44175760.14,11.19
2016-07-17,29259637.68,10.95
2016-07-18,42865671.41,11.63
2016-07-19,129946655.51,12.54
2016-07-20,52507848.04,12.66
2016-07-21,160283325.91,14.82
2016-07-22,66084798.67,14.4
2016-07-23,148330293.91,12.63
2016-07-24,70584619.89,13.84
2016-07-25,176081737.82,12.08
2016-07-26,108824955.37,13.05
2016-07-27,46027207.38,12.87
2016-07-28,24612961.2,12.84
2016-07-29,17987388.93,12.57
2016-07-30,46991782.3,11.82
2016-07-31,39815704.76,11.05
2016-08-01,154635140.74,8.295
2016-08-02,111440196.64,10.42
