,Gas_Price_(Wei),ETH_Close_Price_(USD),Gas_Price_(USD)
2016-05-27,23740827315,11.73,0.0
2016-05-28,26746665349,12.23,0.0
2016-05-29,23677018969,12.66,0.0
2016-05-30,23145863918,13.94,0.0
2016-05-31,22735089093,13.83,0.0
2016-06-01,22687558792,13.74,0.0
2016-06-02,22831513081,13.82,0.0
2016-06-03,22754854055,13.69,0.0
2016-06-04,22562926511,14.0,0.0
2016-06-05,22634657554,13.92,0.0
2016-06-06,23217826841,14.38,0.0
2016-06-07,23737534493,14.45,0.0
2016-06-08,23042966451,14.32,0.0
2016-06-09,22658862386,13.98,0.0
2016-06-10,22804128940,13.92,0.0
2016-06-11,22375029283,15.74,0.0
2016-06-12,22951154962,17.56,0.0
2016-06-13,22759240658,18.84,0.0
2016-06-14,22856579441,18.42,0.0
2016-06-15,22714226454,20.61,0.0
2016-06-16,23212696396,15.49,0.0
2016-06-17,24632069593,11.36,0.0
2016-06-18,24843768913,12.33,0.0
2016-06-19,22736174769,11.73,0.0
2016-06-20,22691090048,12.71,0.0
2016-06-21,25068845210,13.21,0.0
2016-06-22,23017973391,13.58,0.0
2016-06-23,22617185981,14.16,0.0
2016-06-24,22376397200,14.17,0.0
2016-06-25,22497935939,13.72,0.0
2016-06-26,22141167067,13.83,0.0
2016-06-27,22312348466,12.15,0.0
2016-06-28,22584213073,12.73,0.0
2016-06-29,22918582594,12.41,0.0
2016-06-30,22446491113,12.3,0.0
2016-07-01,22618172634,12.11,0.0
2016-07-02,22174765936,11.74,0.0
2016-07-03,22438609328,11.38,0.0
2016-07-04,22445903080,10.45,0.0
2016-07-05,22791928270,10.43,0.0
2016-07-06,22376280596,10.03,0.0
2016-07-07,22363551641,11.27,0.0
2016-07-08,22368208463,10.92,0.0
2016-07-09,22412574674,10.9,0.0
2016-07-10,22296567527,10.46,0.0
2016-07-11,22505333819,10.49,0.0
2016-07-12,22440652514,10.44,0.0
2016-07-13,22106770557,11.55,0.0
2016-07-14,22324847989,11.88,0.0
2016-07-15,22150401292,11.59,0.0
2016-07-16,22453905433,11.19,0.0
2016-07-17,22385907496,10.95,0.0
2016-07-18,22194304300,11.63,0.0
2016-07-19,21817375021,12.54,0.0
2016-07-20,22553228644,12.66,0.0
2016-07-21,22496025782,14.82,0.0
2016-07-22,22388524770,14.4,0.0
2016-07-23,22644090502,12.63,0.0
2016-07-24,23334840904,13.84,0.0
2016-07-25,23055593809,12.08,0.0
2016-07-26,23802114598,13.05,0.0
2016-07-27,22886382980,12.87,0.0
2016-07-28,24336775150,12.84,0.0
2016-07-29,22951966479,12.57,0.0
2016-07-30,22341575288,11.82,0.0
2016-07-31,22551495057,11.05,0.0
2016-08-01,22560601997,8.295,0.0
2016-08-02,22679744211,10.42,0.0
2016-08-03,22667499175,11.21,0.0
2016-08-04,22424068262,10.93,0.0
2016-08-05,22709716839,10.91,0.0
2016-08-06,22261007498,10.94,0.0
2016-08-07,22143757119,11.29,0.0
2016-08-08,22238663553,12.22,0.0
2016-08-09,22880314198,12.22,0.0
2016-08-10,22839922128,11.68,0.0
2016-08-11,22430005194,11.78,0.0
2016-08-12,23389186213,11.52,0.0
2016-08-13,22116282460,11.17,0.0
2016-08-14,22080023368,11.19,0.0
2016-08-15,22387394758,11.16,0.0
2016-08-16,22133315567,10.77,0.0
2016-08-17,22449010538,10.74,0.0
2016-08-18,22271755769,10.75,0.0
2016-08-19,23013031811,11.28,0.0
2016-08-20,22008202022,11.15,0.0
2016-08-21,22724928781,11.11,0.0
2016-08-22,22323641612,11.02,0.0
2016-08-23,22472449180,11.01,0.0
2016-08-24,22134955112,11.37,0.0
2016-08-25,21662495420,11.3,0.0
2016-08-26,22060468684,11.17,0.0
2016-08-27,22084491734,10.99,0.0
2016-08-28,22327330954,10.93,0.0
2016-08-29,22503390990,11.26,0.0
2016-08-30,21969060645,11.59,0.0
2016-08-31,22383972827,12.21,0.0
2016-09-01,22350497450,12.08,0.0
2016-09-02,21832746445,11.77,0.0
2016-09-03,22180114518,11.69,0.0
2016-09-04,23122925314,11.74,0.0
2016-09-05,22297761925,11.66,0.0
2016-09-06,22011556383,11.53,0.0
2016-09-07,22086810764,11.35,0.0
2016-09-08,22630806155,11.64,0.0
2016-09-09,21954984795,12.1,0.0
2016-09-10,22516085593,11.63,0.0
2016-09-11,23221716092,11.92,0.0
2016-09-12,23192092540,11.92,0.0
2016-09-13,22172975216,11.92,0.0
2016-09-14,21847315101,11.96,0.0
2016-09-15,22076869309,12.61,0.0
2016-09-16,21913132122,12.75,0.0
2016-09-17,22349371995,12.39,0.0
2016-09-18,22722051979,12.93,0.0
2016-09-19,22459974842,14.72,0.0
2016-09-20,22114596899,13.72,0.0
2016-09-21,21875371150,13.11,0.0
2016-09-22,21998293790,13.31,0.0
2016-09-23,36520780497,12.91,0.0
2016-09-24,33231902597,13.04,0.0
2016-09-25,38650733832,12.8,0.0
2016-09-26,43188170153,13.09,1e-06
2016-09-27,35880566234,13.25,0.0
2016-09-28,31053957466,13.09,0.0
2016-09-29,30521640536,13.22,0.0
2016-09-30,29817386069,13.15,0.0
2016-10-01,27851144123,13.19,0.0
2016-10-02,29274270351,13.46,0.0
2016-10-03,28921116127,13.28,0.0
2016-10-04,25719466740,13.01,0.0
2016-10-05,25204877308,12.82,0.0
2016-10-06,23383154022,12.62,0.0
2016-10-07,23148248452,12.24,0.0
2016-10-08,23382156317,12.06,0.0
2016-10-09,24293403159,11.74,0.0
2016-10-10,23808820587,11.7,0.0
2016-10-11,24289033632,11.72,0.0
2016-10-12,26037096488,12.1,0.0
2016-10-13,74508549155,11.9,1e-06
2016-10-14,47491822159,11.91,1e-06
2016-10-15,67021626922,11.88,1e-06
2016-10-16,64860315135,11.96,1e-06
2016-10-17,62917625993,12.5,1e-06
2016-10-18,56109104953,11.98,1e-06
