,is_bundle,event_id,seller_address,seller_username,created_date,starting_price,payment_token,usd_price,total_price_usd
1,False,138785,0x7fac1fe49dab8c0bc203cf12dd592b9f8cc49943,redsvart,2020-10-01 22:26:00.853306,0.8,ETH,4323.28,3458.624
4,False,86570,0xbf950f8a4e6b7a8769d11b86ca96f1aec4880ca5,Simmeon,2020-10-01 21:08:18.000148,1.0,ETH,4323.28,4323.28
10,False,107379,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,Dirtyfox,2020-10-01 19:23:21.792384,8400.0,SAND,3.16,26544.0
15,False,9253,0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,AlexCore,2020-10-01 15:26:27.621423,0.49,ETH,4323.28,2118.4071999999996
18,False,59446,0x8a450f10ee471c20ac94cd23ff1b4e293915db34,Anorak,2020-10-01 15:11:43.288797,0.85,ETH,4323.28,3674.7879999999996
23,False,50849,0x4ca5cc4db5f9c8551b7c0fab1cabb04274abc1cf,NotSafeAtAll,2020-10-01 07:36:11.475790,1.5,ETH,4323.28,6484.92
24,False,40689,0x4ca5cc4db5f9c8551b7c0fab1cabb04274abc1cf,NotSafeAtAll,2020-10-01 06:36:44.558662,2.0,ETH,4323.28,8646.56
25,False,50034,0x4ca5cc4db5f9c8551b7c0fab1cabb04274abc1cf,NotSafeAtAll,2020-10-01 06:35:46.101311,1.0,ETH,4323.28,4323.28
26,False,40277,0x4ca5cc4db5f9c8551b7c0fab1cabb04274abc1cf,NotSafeAtAll,2020-10-01 06:34:22.895050,1.0,ETH,4323.28,4323.28
32,False,37352,0x685a8de16b2dcbc4ae0329cd80ccd8648b37d9fc,Itbeme,2020-10-01 05:20:28.592564,0.85,ETH,4323.28,3674.7879999999996
40,False,63084,0xb10d351ccf64648d27477bedc2722aca885d65f5,CyberDragonGames,2020-10-01 00:31:52.293448,0.66,ETH,4323.28,2853.3648
41,False,103787,0xb10d351ccf64648d27477bedc2722aca885d65f5,CyberDragonGames,2020-10-01 00:31:29.238297,0.66,ETH,4323.28,2853.3648
42,False,142918,0xa27f789d18586c20f9f987db6af6970fcd35840b,Tebs2020,2020-10-01 00:18:31.254622,0.35,ETH,4323.28,1513.148
47,False,77500,0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92,Dirtyfox,2020-10-02 22:10:52.774011,8000.0,SAND,3.16,25280.0
53,False,14597,0xd415d2f890bff9b238aa4fc893f6a254f06cb4d9,zzzzzeth,2020-10-02 15:21:52.480272,0.39,WETH,4312.01,1681.6839000000002
57,False,136794,0x62f12407d27b8dc6e13fe6dadc9a78dbbb40510b,wrecg,2020-10-02 10:10:18.553072,1.0,ETH,4323.28,4323.28
58,False,130200,0x62f12407d27b8dc6e13fe6dadc9a78dbbb40510b,wrecg,2020-10-02 10:09:49.919149,1.0,ETH,4323.28,4323.28
