,BITO,ARKK,QQQ,VTI,JPST
2020-10-01,,94.5,282.26,171.73,50.76
2020-10-02,,92.285,274.33,170.34,50.75
2020-10-05,,95.84,280.32,173.46,50.755
2020-10-06,,95.64,275.15,171.31,50.75
2020-10-07,,99.23,280.11,174.31,50.77
2020-10-08,,100.58,281.47,175.89,50.775
2020-10-09,,102.76,285.72,177.296,50.775
2020-10-12,,102.3,294.52,179.93,50.7799
2020-10-13,,104.81,294.43,179.0,50.79
2020-10-14,,103.78,292.14,177.88,50.79
2020-10-15,,102.8,290.01,177.8,50.787
2020-10-16,,102.76,288.45,177.59,50.77
2020-10-19,,102.235,283.67,175.01,50.79
2020-10-20,,100.8124,284.47,175.59,50.79
2020-10-21,,97.91,284.19,175.06,50.8
2020-10-22,,98.61,284.26,176.26,50.795
2020-10-23,,99.15,284.89,176.87,50.795
2020-10-26,,97.2228,280.4,173.63,50.81
2020-10-27,,98.5828,282.6,172.91,50.81
2020-10-28,,94.75,271.71,167.19,50.81
2020-10-29,,96.0,276.23,168.84,50.795
2020-10-30,,90.82,269.71,166.82,50.78
2020-11-02,,90.89,270.05,168.79,50.75
2020-11-03,,93.14,274.63,171.99,50.74
2020-11-04,,97.52,286.85,175.66,50.75
2020-11-05,,100.82,294.31,179.32,50.745
2020-11-06,,102.01,294.65,179.26,50.755
2020-11-09,,97.42,288.44,181.25,50.74
2020-11-10,,94.78,283.46,181.18,50.76
2020-11-11,,98.78,289.84,182.56,50.76
2020-11-12,,98.89,288.42,180.705,50.77
2020-11-13,,99.35,291.48,182.9158,50.78
2020-11-16,,99.47,293.05,184.31,50.77
2020-11-17,,101.17,292.12,185.11,50.78
2020-11-18,,100.95,290.07,183.18,50.785
2020-11-19,,103.18,292.24,184.22,50.78
2020-11-20,,104.91,290.36,183.21,50.77
2020-11-23,,107.39,290.37,184.72,50.79
2020-11-24,,106.15,294.52,187.58,50.805
2020-11-25,,108.54,296.42,187.47,50.7999
2020-11-27,,111.745,299.02,188.1696,50.805
2020-11-30,,112.33,299.36,187.16,50.79
2020-12-01,,112.71,303.66,189.01,50.76
