,ARKK_Vol,ARKK_Close,BITO_Vol,BITO_Close,QQQ_Vol,QQQ_Close,VTI_Vol,VTI_Close,JPST_Vol,JPST_Close,ETH_Daily_Volume,ETH_Close_Price_(USD),Bored_Ape_Vol,Bored_Ape_Avg_Sale_Price,Mutant_Ape_Vol,Mutant_Ape_Avg_Sale_Price,Sandbox_Vol,Sandbox_Avg_Sale_Price,ARKK_$_Vol,BITO_$_Vol,QQQ_$_Vol,VTI_$_Vol,JPST_$_Vol,ETH_$_Vol,Bored_Ape_$_Vol,Mutant_Ape_$_Vol,Sandbox_$_Vol
2020-10-01,2343947.0,94.5,,,44619187.0,282.26,2955015.0,171.73,2668449.0,50.76,6573604076.85,345.83,,,,,1.0,1513.148,221502991.5,,12594211722.619999,507464725.95,135450471.24,2273349497897.0356,,,1513.148
2020-10-02,2530584.0,92.285,,,66549291.0,274.33,2350394.0,170.34,2123256.0,50.75,3993795434.77,346.32,,,,,6.0,3853.8819359135086,233534944.44,,18256467000.03,400366113.96,107755242.0,1383131234969.5464,,,23123.291615481052
2020-10-05,1752378.0,95.84,,,24187810.0,280.32,2499194.0,173.46,2427519.0,50.755,5401574513.63,340.85,,,,,20.0,2950.92051320183,167947907.52,,6780326899.2,433510191.24,123208726.845,1841126672970.7856,,,59018.4102640366
2020-10-06,2516361.0,95.64,,,43641201.0,275.15,2776243.0,171.31,4760784.0,50.75,5050733740.5,341.91,,,,,2.0,1854.68712,240664766.04,,12007876455.15,475598188.33,241609788.0,1726896373214.3552,,,3709.37424
2020-10-07,3121925.0,99.23,,,24402450.0,280.11,1949237.0,174.31,2107722.0,50.77,5480693076.72,351.2,,,,,13.0,3770.4367640449896,309788617.75,,6835370269.5,339771501.47,107009045.94000001,1924819408544.064,,,49015.67793258486
2020-10-08,2514931.0,100.58,,,22358295.0,281.47,2363731.0,175.89,2720690.0,50.775,5824444111.52,365.41,,,,,7.0,1659.57602,252951759.98,,6293189293.650001,415756645.59,138143034.75,2128310122790.5234,,,11617.03214
2020-10-09,2694734.0,102.76,,,26246569.0,285.72,2465477.0,177.296,2111153.0,50.775,5589858895.2,370.88,,,,,2.0,5187.936,276910865.84000003,,7499169694.68,437119210.192,107193793.575,2073166867051.776,,,10375.872
2020-10-12,3137927.0,102.3,,,74262342.0,294.52,2946479.0,179.93,1695904.0,50.7799,6187340684.41,381.41,,,,,7.0,5417.336228571429,321009932.09999996,,21871744965.84,530159966.47,86117835.5296,2359913610440.8184,,,37921.3536
2020-10-13,3369088.0,104.81,,,51320095.0,294.43,2454928.0,179.0,3114647.0,50.79,5621098624.45,379.11,,,,,1.0,1988.7088,353114113.28000003,,15110175570.85,439432112.0,158192921.13,2131014699515.2395,,,1988.7088
2020-10-14,3248684.0,103.78,,,33216023.0,292.14,2089384.0,177.88,2073481.0,50.79,6318229892.09,377.7,,,,,9.0,8168.46200888889,337148425.52,,9703728959.22,371659625.92,105312099.99,2386395430242.393,,,73516.15808000001
2020-10-15,2383679.0,102.8,,,38013276.0,290.01,2862536.0,177.8,1818653.0,50.787,6074065863.58,365.58,,,,,7.0,3532.7373714285714,245042201.2,,11024230172.76,508958900.8,92363929.911,2220556998407.576,,,24729.1616
2020-10-16,2095910.0,102.76,,,34665706.0,288.45,1877712.0,177.59,2392582.0,50.77,3703041613.05,368.65,,,,,2.0,2680.4336000000003,215375711.60000002,,9999322895.699999,333462874.08,121471388.14,1365126290650.8826,,,5360.867200000001
2020-10-19,2149417.0,102.235,,,29650636.0,283.67,2472361.0,175.01,2275836.0,50.79,6421449441.53,368.74,,,,,6.0,5735.479412000001,219745646.995,,8410995914.120001,432687898.60999995,115589710.44,2367845267069.772,,,34412.876472
2020-10-20,2195763.0,100.8124,,,27676730.0,284.47,2555923.0,175.59,2115945.0,50.79,9014062629.4,391.46,,,,,11.0,1889.836382727273,221360137.8612,,7873199383.1,448794519.57,107468846.55,3528644956904.924,,,20788.200210000003
2020-10-21,2636766.0,97.91,,,23365732.0,284.19,2814644.0,175.06,1839064.0,50.8,8544347251.63,414.5,,,,,8.0,4475.9918375,258165759.06,,6640307377.08,492731578.64,93424451.19999999,3541631935800.6353,,,35807.9347
2020-10-22,2340824.0,98.61,,,28050313.0,284.26,3451412.0,176.26,1978932.0,50.795,6111654519.18,409.57,,,,,10.0,1958.5356471999999,230828654.64,,7973581973.38,608345879.12,100519850.94,2503150341420.5527,,,19585.356472
2020-10-23,1824696.0,99.15,,,21461067.0,284.89,2417526.0,176.87,1570812.0,50.795,4567753129.69,412.55,,,,,16.0,2734.0022607499996,180918608.4,,6114043377.63,427587823.62,79789395.54,1884426553653.6094,,,43744.03617199999
2020-10-26,2376898.0,97.2228,,,35865393.0,280.4,3909970.0,173.63,1951643.0,50.81,5910660122.08,403.74,,,,,5.0,6550.437728,231088678.87440002,,10056656197.199999,678888091.1,99162980.83,2386369917688.579,,,32752.18864
2020-10-27,1316201.0,98.5828,,,26687740.0,282.6,2536027.0,172.91,3032139.0,50.81,5797334138.48,388.77,,,,,1.0,1513.148,129754779.94280002,,7541955324.000001,438504428.57,154062982.59,2253829593016.869,,,1513.148
2020-10-28,2476728.0,94.75,,,45549847.0,271.71,4588587.0,167.19,2714700.0,50.81,5140360838.5,387.54,,,,,11.0,1608.887543181818,234669978.0,,12376348928.369999,767165860.53,137933907.0,1992095439352.29,,,17697.762974999998
